pid,total_sent,unique_addresses_sent,unique_add_sent_perc,unique_subjects_sent,unique_sub_sent_perc,total_received,unique_addresses_received,unique_add_rec_perc,unique_subjects_received,unique_sub_rec_perc,total_emails,total_sent_signed,total_sent_signed_perc,unique_addresses_sent_signed,unique_add_sent_perc_signed,unique_subjects_sent_signed,unique_sub_sent_perc_signed,total_received_signed,total_rec_signed_perc,unique_addresses_received_signed,unique_add_rec_perc_signed,unique_subjects_received_signed,unique_sub_rec_perc_signed,total_sent_encrypted,total_sent_encrypted_perc,unique_addresses_sent_encrypted,unique_add_sent_perc_encrypted,unique_subjects_sent_encrypted,unique_sub_sent_perc_encrypted,total_received_encrypted,total_rec_encrypted_perc,unique_addresses_received_encrypted,unique_add_rec_perc_encrypted,unique_subjects_received_encrypted,unique_sub_rec_perc_encrypted,inter_hume_sent,inter_hume_sent_perc,inter_hume_rec,inter_hume_rec_perc,inter_vt_sent,inter_vt_sent_perc,inter_vt_rec,inter_vt_rec_perc,sent_to,sent_to_perc,sent_cc,sent_cc_perc,rec_to,rec_to_perc,rec_cc,rec_cc_perc,avg_recipients_sent,avg_recipients_rec,avg_body_chars_sent,avg_body_chars_rec,var_body_chars_sent,var_body_chars_rec,after_hours_sent,after_hours_sent_perc,after_hours_rec,after_hours_rec_perc,after_hours_sent_hume,after_hours_sent_hume_perc,after_hours_rec_hume,after_hours_rec_hume_perc,avg_sent_per_day,avg_rec_per_day,avg_emails_per_day,attached_sent,attached_rec,avg_attachments_sent,avg_attachments_rec,sent_re,sent_re_perc,sent_fw,sent_fw_perc,rec_re,rec_re_perc,rec_fw,rec_fw_perc,avg_subject_chars_sent,avg_subject_chars_rec,var_subject_chars_sent,var_subject_chars_rec,fg_between_centrality,pg_between_centrality,pg_avg_neighbor_degree,fg_avg_neighbor_degree,pg_clustering,fg_clustering,pg_closeness_centrality,fg_closeness_centrality,pg_degree_centrality,fg_degree_centrality,pg_current_flow_closeness_centrality,fg_current_flow_closeness_centrality,pg_current_flow_betweenness_centrality,fg_current_flow_betweenness_centrality,pg_communicability_centrality,fg_communicability_centrality,pg_communicability_betweenness_centrality,fg_communicability_betweenness_centrality,pg_square_clustering,fg_square_clustering,pg_eccentricity,fg_eccentricity,pg_pagerank,fg_pagerank,pg_hubs,pg_authorities,fg_hubs,fg_authorities,pg_avg_shortest_paths_x,pg_avg_shortest_paths_y,fg_max_shortest_paths,pg_num_cliques,fg_num_cliques,pg_degree,fg_degree,Status
adamq,0.003184286384661795,0.013043478260869565,0.39529263423347694,0.005419634561783834,0.6898581346211892,0.030121558813013944,0.08163265306122448,0.8767038413878563,0.03929324894514768,0.9943875061005369,0.010431051489445651,0.0022928608650338717,0.27707304045934034,0.011976047904191617,0.7273,0.0044204322200392925,0.8182,0.006984126984126984,0.05559968228752978,0.02631578947368421,0.398721781259664,0.0069084628670120895,0.6250187490625468,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.08668730650154798,0.07692307692307693,1.0,0.07692307692307693,1.0,0.0014593805740230259,0.09411764705882353,0.005814867201005815,0.0898876404494382,0.0038298071084956332,0.7547169811320755,0.019864398715356252,0.24193548387096775,0.005288673424416042,0.9248646927730022,0.0004277891854893908,0.07513530722699777,0.04466126150886354,0.9831168831168833,0.0028619127116622945,0.016883116883116875,0.03721428571428574,0.15702647398990863,0.16621125572264298,0.22634573862711768,0.018528965211422773,0.01144477172063706,0.0022754491017964074,0.44374303750464167,0.03230016313213703,0.5848107331097269,0.001131648434552999,0.08432657926102502,0.0005694760820045558,0.0,0.012640243838681682,0.1168980673969162,0.0413495228901205,0.00400037212763978,0.011783327470981358,0.4059405940594059,0.05555555555555555,0.0027779042761510086,0.5755,0.004564125969876769,0.17903930131004367,0.007537688442211055,0.04155474798546372,0.012360939431396786,0.09170785282811643,0.10081818670182026,0.6462306957877023,0.0916297550855837,0.24495812076533297,0.05598565640669475,0.0,0.9875301689460981,0.9914670167377749,1.0,1.0,0.2348445873891433,0.37004405286343617,0.01639344262295082,0.028985507246376798,0.20348016648944978,0.42895466214350514,0.0008143190652459912,0.00021559160643797506,0.004470718615365246,0.0193970356587806,0.008460525509451559,0.035008395680557185,0.022549019607843137,0.6750645984263263,1.0,1.0,0.0025213589498869734,0.0037976788544267824,0.00037093952738907613,0.00037093952592508124,0.0008924617893998604,0.0008924617875553213,0.7634408602150539,0.9428571428571431,1.0,0.0,0.0,0.01639344262295082,0.028985507246376812,GradStudent
ahmed12,0.0,0.001003344481605351,0.8089734159924347,0.0002322700526478786,0.7197404165408993,0.006524848051483733,0.01020408163265306,0.5728004956629492,0.008175105485232068,0.8894582723279648,0.001578220556322746,0.0,0.0,0.0,0.0,0.0,0.0,0.005714285714285714,0.1944003177124702,0.03289473684210526,0.5876713740851458,0.006044905008635579,0.7000149992500375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47058823529411764,0.009272355807009273,0.8539325842696629,0.0,0.8301886792452831,0.008683240157012015,1.0,0.0,0.13164597262018465,0.000513347022587269,0.8683540273798154,0.007970317438504878,0.7018552875695734,0.0035773908895778677,0.2981447124304267,0.13392857142857142,1.0,0.0,0.16541783158946688,0.0,0.0043806867595559745,5.988023952095808e-05,0.11251392499071668,0.0,0.0,0.0,0.0,0.0005694760820045558,0.09063535079795243,0.0,0.00874206376892486,0.0022384357103571884,0.0,0.007914175167077032,0.0,0.4166666666666666,0.0004553941436313129,0.9091,0.00045641259698767686,0.17258401367002088,0.0015354550530429928,0.21077579396429139,0.022249690976514216,1.0,0.2147219157657537,0.9398525383786543,0.2221206467339624,0.4863593877788831,0.1422863988660256,0.0056732223903177,0.5760257441673371,0.8634722678043975,1.0,0.9824393850703965,0.499531575395791,0.5556650246305421,0.04918032786885246,0.08695652173913043,0.3381900330122068,0.5492386945528719,0.002278424675055233,0.0003634479317647619,0.01579830591770057,0.05505670409385124,0.027942873214682636,0.09805930785222483,0.04964539007092198,0.8446508576319199,1.0,1.0,0.0043531639082633935,0.00536900278202434,0.0009691577459076223,0.0009691577449632392,0.0038489378890809983,0.003848937882146048,0.7634408602150539,0.8857142857142859,1.0,0.0,0.0,0.04918032786885246,0.08695652173913043,Research
ajm,0.007943956559629952,0.02608695652173913,0.3051381737942629,0.01161350263239393,0.5653486266223965,0.04004290311047551,0.08090379008746355,0.6257744733581165,0.04087552742616034,0.5524646168862859,0.016669954626159007,0.00041688379364252214,0.021498197356122312,0.0029940119760479044,1.0,0.0009823182711198428,1.0,0.07174603174603175,0.4692216044479745,0.15789473684210525,0.19523760437068344,0.07944732297063903,0.7237138143092844,0.29411764705882354,0.46436781609195404,0.29411764705882354,1.0,0.38461538461538464,1.0,0.21428571428571427,0.1981424148606811,0.23076923076923078,1.0,0.23076923076923078,1.0,0.012810118371979894,0.6,0.04950495049504951,0.7078651685393258,0.00831348372331979,0.5471698113207547,0.04341620078506007,0.7096774193548387,0.009640810929925078,0.5635148042024832,0.005817932922655715,0.4364851957975167,0.04026384499106775,0.44025974025974035,0.03696637252563797,0.5597402597402596,0.11150000000000002,0.16109352956876502,0.3832395347321049,0.07868256989880311,0.13399740982538147,0.002785158425890512,0.00047904191616766467,0.039980195568758516,0.01435562805872757,0.14494489698131288,0.0013202565069784986,0.042014302741358756,0.022779043280182234,0.2408912978018669,0.06253463617637525,0.317787622967976,0.1334253835532667,0.008279839985114895,0.03781217024270137,0.3564356435643564,0.2962962962962962,0.006921990983195956,0.6129,0.008215426745778184,0.13783937725460416,0.0330820770519263,0.579080423447622,0.048207663782447466,0.3893465129049972,0.18678150448208788,0.507942846684614,0.3658692506253198,0.3751395507955225,0.3733396468680947,0.0,0.5984714400643604,0.5021613765296077,0.9555555555555556,0.6401903170153116,0.46208983313778185,0.6091370558375635,0.14754098360655737,0.3768115942028985,0.7127294644878661,0.8674608440907239,0.008352049783056408,0.08096654497725192,0.10297351995375019,0.33321495979968907,0.17518552730617923,0.5011272728498,0.013473378425251474,0.3365507128497304,1.0,0.0,0.018392314546528798,0.03947636945141239,0.017987880952989102,0.017987880928693474,0.021039546691288172,0.02103954666644696,0.5483870967741936,0.6142857142857147,0.0,0.013888888888888888,0.08883248730964467,0.14754098360655737,0.37681159420289856,Director
apblair,0.0020781658510424347,0.0026755852842809363,0.1507828097089419,0.004026014245896562,0.8004829459704195,0.011619592420450483,0.01020408163265306,0.30111524163568776,0.014767932489451477,0.9272816007808689,0.004512724403235352,0.00020844189682126107,0.03658699425824543,0.0007485029940119761,0.5,0.0004911591355599214,1.0,0.04317460317460318,0.8794678316123907,0.05263157894736842,0.1035975672611071,0.05008635578583765,0.7826608669566522,0.058823529411764705,0.3149425287356322,0.058823529411764705,1.0,0.07692307692307693,1.0,0.07142857142857142,0.20123839009287922,0.07692307692307693,1.0,0.07692307692307693,1.0,0.004621371817739582,0.8352941176470589,0.01885902876001886,0.9438202247191011,0.0029424127784783522,1.0,0.01498751040799334,0.9516129032258065,0.003635962979286029,0.9563833174148361,0.00017111567419575633,0.04361668258516396,0.016490311941734233,0.8966604823747683,0.0023849272597185785,0.10333951762523189,0.031999999999999966,0.21580813665306744,0.17670965555232718,0.04795210482122404,0.015189403820864403,0.0013624698331007681,0.0031137724550898203,0.8816685233320957,0.012071778140293638,0.5390512697652132,0.00924179554884949,1.0,0.01879271070615034,0.670581150255947,0.0037080314104373834,0.02126212237493895,0.008417210570647262,0.001023351009396223,0.007034822370735139,0.1485148514851485,0.1759259259259259,0.001867115988888383,0.5616,0.0009128251939753537,0.052022023922536555,0.006700167504187605,0.409543371780692,0.006180469715698393,0.1383855024711697,0.01342044463009674,0.3515189895742009,0.0062727743534630774,0.4857181490346217,0.055393453986898114,0.0,0.8711450791096811,0.9448403581977591,1.0,0.9935836214680295,0.06990004301572114,0.5556650246305421,0.032786885245901634,0.07246376811594203,0.4916011665094658,0.7072743703128415,0.0025104909443609564,0.000845150876079039,0.01050067224773256,0.048211965614018644,0.019457594408861807,0.08596695519137175,0.033542976939203356,0.8630755330807954,1.0,1.0,0.008497270541399284,0.012017971920362127,0.002220956521132636,0.0022209565172399055,0.0036747086763323925,0.00367470867243476,0.7526881720430105,0.8999999999999998,1.0,0.0,0.0,0.03278688524590164,0.07246376811594203,GradStudent
apoetter,0.24079908828852986,0.12006688963210703,0.0025218030892087836,0.1985908950139362,0.1611832176275279,0.6284411869860564,0.39285714285714285,0.07899628252788106,0.5593354430379747,0.32552464616886284,0.35031564411126453,0.19437206878582594,0.3461076245159567,0.1377245508982036,0.0987,0.1974459724950884,0.4311,0.41015873015873017,0.17176330420969022,0.34210526315789475,0.053602721368931044,0.43609671848013815,0.6731663416829158,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06191950464396285,1.0,0.9286,1.0,0.9286,0.3941138316847738,0.6235294117647059,0.5568128241395568,0.47191011235955055,0.2951286721778525,0.7735849056603774,0.6956108005233734,0.7258064516129032,0.247135301895108,0.40178287169691174,0.23134839151266257,0.5982171283030883,0.7233750171774083,0.5996289424860854,0.4214166467922728,0.4003710575139146,0.21835714285714286,0.06344606703015977,0.615945711186501,0.1018914506187449,0.09046652416066817,0.008285320128349495,0.03221556886227545,0.0925857160539671,0.3797716150081566,0.29803545759463346,0.07468879668049792,0.08194278903456495,0.2727790432801822,0.17223727792833485,0.24490913558559974,0.6399218586478755,0.356382426356619,0.3922225323285887,0.46535349982412944,0.5841584158415841,0.19444444444444442,0.16526253472380345,0.5044,0.2624372432679142,0.15169925954053542,0.501675041876047,0.5312055617001106,0.4796044499381953,0.22679846238330592,0.3246844342994038,0.4442666157115796,0.8134563426962955,0.41459852656225327,0.30804135278628597,0.47428139183055973,0.05948697320378734,0.0594823948614561,0.32,0.07433088209260075,0.6738029999778432,0.5217391304347828,0.8360655737704917,0.8840579710144929,0.9852132733925846,0.9917495667923811,0.4583329273985936,0.3956871209183997,0.8853089580210598,0.8714732543500486,0.9270821071310017,0.9383373093457662,0.010080707355821882,0.06600137129148971,0.0,0.0,0.352964331040254,0.3463938658588368,0.2380442879554889,0.23804428777952052,0.23727280405859486,0.2372728038864375,0.1075268817204301,0.11428571428571466,0.0,0.75,0.8857868020304569,0.8360655737704918,0.8840579710144928,PM
arog3632,0.04059127170342562,0.07224080267558529,0.1401702217085216,0.049473521213998145,0.41744642318140657,0.15319985698963176,0.3163265306122449,0.6279429987608427,0.1649525316455696,0.6346998535871158,0.07190767409745512,0.013340281396560709,0.1398050474028575,0.038922155688622756,0.4063,0.018664047151277015,0.5938,0.03111111111111111,0.04686258935663224,0.11842105263157894,0.3608906298319761,0.03626943005181347,0.7900104994750261,0.11764705882352941,0.036781609195402305,0.11764705882352941,1.0,0.15384615384615385,1.0,0.14285714285714285,0.0371517027863777,0.15384615384615385,1.0,0.15384615384615385,1.0,0.02107994162477704,0.08235294117647059,0.04809052333804809,0.11235955056179775,0.041006959039745924,0.49056603773584906,0.11121684310693469,0.27419354838709675,0.05608197443807845,0.7408468640560332,0.017026009582477755,0.2591531359439669,0.2128624433145527,0.8849721706864566,0.03935129978535655,0.11502782931354358,0.07157142857142855,0.04368271882665445,0.20156166854173976,0.14065643231351083,0.03162538807574865,0.024689675923266968,0.011197604790419162,0.18937987374675083,0.1269168026101142,0.44298035457594637,0.007355714824594493,0.047526817640047674,0.014806378132118452,0.01686239084613068,0.043035122389870034,0.1628933231005372,0.07638661861593904,0.03944552981672714,0.06331340133661625,0.3465346534653465,0.04629629629629628,0.03319823307072271,0.5966,0.023733455043359195,0.08088095690146194,0.0827749860413177,0.27840101121820193,0.08034610630407911,0.13289401427786932,0.02960032147795617,0.4582481041487764,0.07215986661452183,0.3684116502412747,0.2523241882770352,0.0,0.48596585322249025,0.4805546439120443,1.0,0.5757906354260488,0.2958666832306956,0.7058823529411768,0.13114754098360656,0.391304347826087,0.664000586664624,0.8382701737614229,0.1238756795791504,0.19456249583930493,0.06156891445823951,0.3430596492347146,0.10364821215357778,0.4970379273986247,0.016327340031729243,0.23426375439278455,1.0,1.0,0.02030909501736903,0.02940673353867957,0.00905907440135248,0.009059074394965448,0.01201863912262113,0.012018639114165487,0.6344086021505374,0.6142857142857147,1.0,0.0,0.09137055837563451,0.13114754098360656,0.391304347826087,GradStudent
asohangh,0.00724006167459945,0.0137123745819398,0.16675422927393085,0.008439145246206255,0.3800181104738906,0.02466928852341795,0.01967930029154519,0.2100371747211896,0.02689873417721519,0.6654465592972181,0.011910633260998225,0.0003126628452318916,0.017625851248497797,0.0014970059880239522,0.6667,0.0007367387033398821,1.0,0.058412698412698416,0.6052422557585385,0.06578947368421052,0.09112462632718278,0.0613126079447323,0.6613169341532923,0.058823529411764705,0.10114942528735633,0.058823529411764705,1.0,0.07692307692307693,1.0,0.07142857142857142,0.10216718266253869,0.07692307692307693,1.0,0.07692307692307693,1.0,0.012566888276309389,0.6588235294117647,0.03598931321703599,0.8426966292134831,0.00892064826491056,0.7924528301886793,0.030093969311288212,0.8709677419354839,0.00870427501101807,0.5512575612862145,0.0054757015742642025,0.4487424387137854,0.030781915624570565,0.7189239332096476,0.012401621750536608,0.28107606679035246,0.10610714285714283,0.17284986210139677,0.2907504361219857,0.0951751454478424,0.09433357147591828,0.00288798299407634,0.00281437125748503,0.25621982918678055,0.008482871125611746,0.14087206516530906,0.005658242172764994,0.19696066746126342,0.011389521640091117,0.19753086419753088,0.00729581647270408,0.02513779390218377,0.012125821625135097,0.00400037212763978,0.01741118536756947,0.18811881188118812,0.19444444444444442,0.008242633999726764,0.7974,0.0018256503879507074,0.03341560660717677,0.01605248464544947,0.4278717016906304,0.014833127317676144,0.16199890170236134,0.09913670425562637,0.5673474844711268,0.2865538409460149,0.5138971896491807,0.0675235035133089,0.0,0.5585679806918744,0.6179550675776472,1.0,0.7014695461967406,0.0,0.4054054054054056,0.06557377049180328,0.18840579710144925,0.6422316401686111,0.8144983384091389,0.010217038362158629,0.0030815791413396913,0.019997903735513824,0.12210119107494001,0.036755167418713396,0.20958347474663258,0.030909990108803163,0.6508899997623186,1.0,1.0,0.017212997913195766,0.02469287018800613,0.003549249947909934,0.0035492499416850997,0.005237855971893103,0.005237855964584835,0.7311827956989245,0.785714285714286,1.0,0.0,0.025380710659898477,0.06557377049180328,0.18840579710144928,GradStudent
awais,0.0014748273781591472,0.0026755852842809363,0.21666491541452138,0.001548467017652524,0.30802897675822516,0.008223096174472649,0.010932944606413994,0.47924411400247835,0.009889240506329115,0.8289409468033189,0.003131781416452949,0.0,0.0,0.0,0.0,0.0,0.0,0.024761904761904763,0.6743447180301827,0.006578947368421052,0.020719513452221425,0.025906735751295335,0.6625168741562921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033241446408302255,0.8235294117647058,0.011786892975011787,0.8426966292134831,0.002101723413198823,1.0,0.009515879624122755,0.8387096774193549,0.001873071837814015,0.5369309137217446,0.0013689253935660506,0.4630690862782553,0.010306444963583895,0.7294990723562153,0.004054376341521584,0.27050092764378475,0.13392857142857142,0.07596497248382708,0.16677199636264345,0.1419897370194262,0.007974625698495398,0.0038616758695968045,0.0003592814371257485,0.13504146552791188,0.009135399673735726,0.5622903689506468,0.0005658242172764995,0.08119785458879618,0.011389521640091117,0.5636856368563685,0.0014638685864257557,0.00862345635945022,0.0032826544309104127,0.002697925388408224,0.0047485051002462185,0.5247524752475248,0.1759259259259259,0.0017760371601621204,0.7091,0.00045641259698767686,0.03455477501423961,0.005025125628140704,0.47116448096065733,0.003708281829419036,0.11367380560131798,0.11565053061241388,0.8512101855293956,0.12568112233288065,0.6689306895880246,0.15853350894045137,0.0,0.8711450791096811,0.6510009845749918,1.0,0.9223843333720412,0.26038694737280016,0.7058823529411768,0.032786885245901634,0.08695652173913043,0.44586205196082385,0.6109908464508302,0.0027225401412805553,0.006073836569057709,0.010549926048266121,0.03635992944490895,0.019993534516047257,0.0626997277333786,0.009622175141242938,0.7786404457546988,1.0,1.0,0.005984345878888278,0.006598641711659391,0.011966240579473993,0.01196624054626748,0.012440881588582975,0.012440881556372609,0.6774193548387097,0.9142857142857144,1.0,0.0,0.0025380710659898475,0.03278688524590164,0.08695652173913043,GradStudent
bdeird7,0.059294764362807534,0.1531772575250836,0.22317957339497738,0.07858470114586559,0.48686990642921807,0.1553450125134072,0.3112244897959184,0.6047087980173483,0.17945675105485231,0.7628111273792094,0.08625961728151509,0.0010422094841063053,0.0074776338629990655,0.006736526946107785,0.9,0.002455795677799607,1.0,0.05587301587301587,0.08995234312946784,0.13815789473684212,0.22399752602824452,0.06044905008635579,0.6967151642417878,0.35294117647058826,0.07816091954022988,0.35294117647058826,1.0,0.46153846153846156,1.0,0.2857142857142857,0.07120743034055727,0.3076923076923077,1.0,0.3076923076923077,1.0,0.021728555213231717,0.0,0.04997642621404998,0.11235955056179775,0.06305170239596469,0.5471698113207547,0.07719757345069585,0.0,0.08781401498457471,0.83810888252149,0.015485968514715948,0.16189111747851004,0.22701662773120793,0.9705009276437847,0.020510374433579774,0.029499072356215208,0.07889285714285718,0.026766309528348634,0.39893284746434343,0.2955794195624783,0.37282311872714663,0.026039940878458734,0.08610778443113773,1.0,0.26231647634584015,1.0,0.02055827989437948,0.09117997616209773,0.04612756264236902,0.1102077687443541,0.0700970858558926,0.18419033000767457,0.1021651673249924,0.040189785096288025,0.07245867041857193,0.2376237623762376,0.0648148148148148,0.04349014071679038,0.5365,0.035600182565038795,0.08315929371558763,0.04522613065326633,0.029704534681624286,0.0407911001236094,0.030203185063152126,0.07464535775591011,0.7452099981679237,0.1234293369863697,0.30529195818155486,0.2590731462556887,0.0,0.3659570517977598,0.3930915654742365,0.8727272727272727,0.5637392330233798,0.5544164812940967,0.6757894736842106,0.19672131147540986,0.391304347826087,0.7389923024399804,0.8543736259883906,0.09244788968706377,0.12311471101270444,0.10572768892038521,0.3186617840687071,0.1740423563164259,0.468077241676829,0.01354844088711022,0.2957010464253745,1.0,0.0,0.029357989061957038,0.03602929354467483,0.00981140399644791,0.009811403989096967,0.00894987591822988,0.008949875912989926,0.5913978494623657,0.5999999999999999,0.0,0.027777777777777776,0.21573604060913706,0.19672131147540983,0.391304347826087,GradStudent
ccallsen,0.26318964939330963,0.3103678929765886,0.07407796574550804,0.24620625580675132,0.2334741925747057,0.5307472291741151,0.49271137026239065,0.19423791821561343,0.41996308016877637,0.16300634455832108,0.3398352732294338,0.39749869723814485,0.647750033382294,0.42664670658682635,0.1494,0.3985756385068762,0.4255,0.6838095238095238,0.3486894360603653,0.4407894736842105,0.0342232759509329,0.6709844559585493,0.5825708714564272,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.015479876160990712,0.15384615384615385,0.6667,0.23076923076923078,1.0,0.34717042322036645,0.47058823529411764,0.48892032060348894,0.4943820224719101,0.2802764933912475,0.5471698113207547,0.5418103960984894,0.6290322580645161,0.26895107977082416,0.3974848774275709,0.2546201232032854,0.6025151225724292,0.5415693280197884,0.4426716141001856,0.47626997376580016,0.5573283858998145,0.12403571428571428,0.055388213164550525,0.429971167559586,0.04863143638270465,0.08798911290525378,0.0022694947215626824,0.04095808383233533,0.10768659487560342,0.17161500815660685,0.11427886919022522,0.08279894379479441,0.083134684147795,0.1714123006833713,0.12014453477868112,0.264305394355741,0.5335833391474221,0.3413412537547643,0.2447669550655875,0.4029194512838551,0.32673267326732675,0.2037037037037037,0.26840930825629583,0.7496,0.31309904153354634,0.1655591418264667,0.5992462311557789,0.8647495654921786,0.6316440049443758,0.39593629873695774,0.21006339291082204,0.38801634759126635,0.39016158781144744,0.2599881873808096,0.12583548478021564,0.0340393343419062,0.2518101367658889,0.3060142868115832,0.6798941798941799,0.4161095535906837,0.5359629199384102,0.6466321243523319,0.4754098360655737,0.5507246376811595,0.97663227583928,0.9875465043288358,0.16971639028496552,0.14293789116231467,0.5360079171248542,0.5144711579124446,0.6639073195289297,0.6722638935759867,0.016814395338339696,0.23904230427104026,0.0,0.0,0.24067656886148217,0.24394560492562084,0.3305525710202302,0.3305525704567096,0.3296642076758985,0.329664207123831,0.3440860215053764,0.4428571428571428,0.0,0.2777777777777778,0.19289340101522842,0.47540983606557374,0.5507246376811594,Director
